id matchTime enumTime joinTime totTime numSoln solnNodes numNodesBefore numNodesAfter answerGraphSize
0 35.89 .00 .00 35.89 10 0 198,075 7,730 
1 15.57 .01 .00 15.58 930 0 419,274 15,998 
2 1.74 .00 .00 1.74 108 0 418,691 86 
3 26.81 .01 .15 26.97 255,816 0 586,141 13,629 
4 31.51 .02 .04 31.57 88,051 0 197,456 5,074 
Average running time: 
[q0 matchTime:35.89 enumTime:.00 joinTime:.00 totTime:35.89]
[q1 matchTime:15.57 enumTime:.01 joinTime:.00 totTime:15.58]
[q2 matchTime:1.74 enumTime:.00 joinTime:.00 totTime:1.74]
[q3 matchTime:26.81 enumTime:.01 joinTime:.15 totTime:26.97]
[q4 matchTime:31.51 enumTime:.02 joinTime:.04 totTime:31.57]
Data loading Time:3.81
Index building Time:1.72
Average Eval Time per run:111.75
Average Eval Time per query:22.35
Average Matching Time per run:111.52
Average Matching Time per query:22.30
Average Join Time per run:.20
Average Join Time per query:.04
Average Nodes before per query:363927.40
Average Nodes after per query:8503.40
Average Soln nodes per query:.00
Average number of solution tuples per query:68983.00
Max Used Memory:2491.00 MB
