id matchTime enumTime joinTime totTime numSoln solnNodes numNodesBefore numNodesAfter answerGraphSize
0 16.23 .05 .02 16.29 2,367 0 0 0 
1 4.13 .02 .00 4.16 1 0 0 0 
2 5.64 .00 .00 5.64 296 0 0 0 
3 6.08 .02 .01 6.10 2,145 0 0 0 
4 7.15 .01 .01 7.16 73,407 0 0 0 
5 .80 .00 .00 .80 2,409 0 0 0 
6 7.43 .02 .01 7.46 84,665 0 0 0 
7 9.62 .02 .00 9.64 6,184 0 0 0 
8 5.54 .01 .00 5.56 3,521 0 0 0 
9 1.00 .00 .00 1.00 438 0 0 0 
Average running time: 
[q0 matchTime:16.23 enumTime:.05 joinTime:.02 totTime:16.29]
[q1 matchTime:4.13 enumTime:.02 joinTime:.00 totTime:4.16]
[q2 matchTime:5.64 enumTime:.00 joinTime:.00 totTime:5.64]
[q3 matchTime:6.08 enumTime:.02 joinTime:.01 totTime:6.10]
[q4 matchTime:7.15 enumTime:.01 joinTime:.01 totTime:7.16]
[q5 matchTime:.80 enumTime:.00 joinTime:.00 totTime:.80]
[q6 matchTime:7.43 enumTime:.02 joinTime:.01 totTime:7.46]
[q7 matchTime:9.62 enumTime:.02 joinTime:.00 totTime:9.64]
[q8 matchTime:5.54 enumTime:.01 joinTime:.00 totTime:5.56]
[q9 matchTime:1.00 enumTime:.00 joinTime:.00 totTime:1.00]
Data loading Time:29.46
Index building Time:5.53
Average Eval Time per run:63.81
Average Eval Time per query:6.38
Average Matching Time per run:63.61
Average Matching Time per query:6.36
Average Join Time per run:.06
Average Join Time per query:.01
Average Nodes before per query:.00
Average Nodes after per query:.00
Average Soln nodes per query:.00
Average number of solution tuples per query:17543.30
Max Used Memory:4083.00 MB
