id,totTime,numSoln
1,0,2
7,0,16
8,0,68
13,0,2
14,0,1
17,0,"1,111"
18,0,1
22,0,1
34,0,3
42,0,1
49,0,4
52,0,2
61,0,1
66,0,1
67,0,56
70,0,113
72,0,8
75,0,3
79,0,1
85,0,3
87,0,4
89,0,2
96,0,10
99,0,110
104,0,2
116,0,1
120,0,7
121,0,64
130,0,1
137,0,1
146,0,1
147,0,2
149,0,6
150,0,1
156,0,1
163,0,3
168,0,8
174,0,2
177,0,3
187,0,1
188,0,4
194,0,1
204,0,2
208,0,1
221,0,42
228,0,1
229,0,2
230,0,1
237,0,6
238,0,1
244,0,"1,059"
248,0,20
252,0,5
254,0,1
262,0,1
264,0,4
267,0,1
278,0,94
281,0,1
288,0,7
290,0,7
293,0,50
299,0,1
300,0,9
301,0,1
308,0,4
311,0,4
315,0,10
323,0,2
326,0,1
333,0,4
336,0,1
337,0,2
348,0,818
351,0,1
360,0,3
364,0,12
366,0,389
367,0,1
370,0,304
373,0,20
374,0,44
382,0,1
385,0,1
386,0,2
388,0,3
389,0,45
394,0,"1,107"
399,0,57
410,0,1
425,0,1
429,0,2
437,0,1
439,0,52
443,0,182
447,0,2
449,0,2
453,0,1
454,0,1
455,0,958
462,0,1
471,0,2
479,0,8
483,0,204
484,0,496
485,0,1
494,0,1
506,0,4
508,0,1
513,0,7
525,0,1
532,0,2
539,0,1
543,0,1
549,0,781
554,0,25
558,0,2
560,0,114
575,0,10
584,0,5
587,0,3
596,0,1
602,0,671
603,0,18
606,0,2
608,0,81
613,0,3
621,0,52
629,0,4
637,0,1
638,0,1
639,0,33
652,0,1
661,0,1
668,0,1
669,0,2
672,0,1
673,0,1
674,0,2
675,0,1
676,0,1
678,0,1
679,0,3
680,0,"1,180"
684,0,1
694,0,1
697,0,1
707,0,1
710,0,237
714,0,1
715,0,1
717,0,8
720,0,57
724,0,47
727,0,9
728,0,1
730,0,54
733,0,1
734,0,2
735,0,181
743,0,40
752,0,1
753,0,1
759,0,72
760,0,2
764,0,54
766,0,12
770,0,6
771,0,20
772,0,54
773,0,12
774,0,11
778,0,133
780,0,1
782,0,4
787,0,20
789,0,1
797,0,281
798,0,4
799,0,3
805,0,66
807,0,1
820,0,4
837,0,20
840,0,33
845,0,1
852,0,10
857,0,56
863,0,3
864,0,1
870,0,25
875,0,2
895,0,1
898,0,2
903,0,11
906,0,1
909,0,4
919,0,1
922,0,12
926,0,19
933,0,31
953,0,18
960,0,2
961,0,362
963,0,5
978,0,2
982,0,1
985,0,1
988,0,1
990,0,1
993,0,5
998,0,2
1002,0,1
1013,0,3
1015,0,304
1016,0,9
1025,0,3
1027,0,2
1030,0,1
1034,0,2
1036,0,380
1048,0,54
1049,0,100
1051,0,1
1063,0,1
1073,0,9
1083,0,1
1093,0,1
1097,0,2
1098,0,39
1106,0,11
1108,0,3
1114,0,4
1116,0,4
1139,0,18
1142,0,4
1147,0,1
1152,0,1
1154,0,1
1162,0,22
1177,0,1
1178,0,13
1200,0,7
1202,0,2
1206,0,2
1220,0,4
1223,0,4
1228,0,912
1241,0,1
1257,0,16
1291,0,2
1292,0,53
1301,0,46
1324,0,42
1325,0,2
1326,0,1
1327,0,2
1328,0,123
1329,0,866
1330,0,3
1334,0,3
1339,0,27
1342,0,6
1344,0,8
1348,0,1
1350,0,4
1358,0,2
1361,0,17
1368,0,"5,679"
1376,0,1
1382,0,24
1385,0,2
1386,0,2
1389,0,1
1402,0,1
1404,0,268
1406,0,4
1413,0,5
1414,0,1
1418,0,26
1419,0,338
1422,0,6
1428,0,6
1434,0,"2,657"
1436,0,1
1440,0,2
1443,0,5
1448,0,18
1452,0,1
1455,0,15
1457,0,20
1462,0,1
1465,0,54
1466,0,1
1468,0,30
1477,0,6
1489,0,4
1501,0,12
1502,0,6
1509,0,3
1510,0,14
1512,0,54
1518,0,23
1530,0,11
1531,0,1
1532,0,1
1547,0,1
1548,0,4
1553,0,2
1561,0,2
1566,0,2
1579,0,25
1582,0,1
1586,0,14
1588,0,7
1604,0,6
1606,0,2
1609,0,1
1615,0,12
1616,0,17
1618,0,"1,460"
1621,0,80
1629,0,1
1632,0,2
1634,0,2
1637,0,1
1639,0,2
1642,0,96
1649,0,131
1664,0,67
1667,0,3
1668,0,8
1674,0,1
1681,0,1
1683,0,1
1697,0,5
1700,0,1
1702,0,1
1706,0,6
1720,0,1
1743,0,23
1749,0,2
1751,0,2
1768,0,1
1783,0,50
1786,0,4
1802,0,139
1807,0,4
1814,0,10
1819,0,8
1820,0,218
1824,0,1
1826,0,2
1829,0,1
1835,0,1
1836,0,3
1839,0,19
1875,0,2
1880,0,8
1882,0,2
1891,0,347
1895,0,1
1903,0,1
1918,0,70
1922,0,1
1930,0,5
1931,0,7
1942,0,4
1947,0,4
1951,0,1
1968,0,304
1974,0,55
1979,0,2
1983,0,1
1987,0,11
1990,0,28
1991,0,1
1995,0,1
2003,0,17
2005,0,10
2009,0,2
2012,0,1
2018,0,2
2021,0,1
2026,0,4
2028,0,1
2031,0,1
2034,0,1
2040,0,1
2042,0,1
2044,0,163
2046,0,12
2047,0,2
2050,0,"3,200"
2051,0,7
2054,0,33
2059,0,1
2069,0,3
2072,0,12
2073,0,1
2075,0,2
2079,0,2
2081,0,26
2085,0,5
2102,0,1
2105,0,1
2107,0,54
2109,0,1
2112,0,86
2114,0,1
2115,0,2
2117,0,3
2122,0,7
2129,0,53
2130,0,3
2131,0,1
2133,0,8
2142,0,133
2144,0,40
2151,0,1
2152,0,54
2157,0,3
2167,0,1
2168,0,12
2169,0,3
2174,0,1
2176,0,2
2177,0,2
2178,0,2
2180,0,12
2183,0,24
2184,0,2
2189,0,1
2190,0,194
2208,0,1
2209,0,1
2214,0,13
2215,0,"1,312"
2222,0,4
2224,0,32
2225,0,159
2231,0,6
2232,0,46
2235,0,3
2238,0,"1,476"
2241,0,6
2244,0,11
2247,0,577
2252,0,28
2254,0,2
2255,0,357
2257,0,1
2259,0,6
2263,0,4
2273,0,6
2277,0,1
2282,0,1
2293,0,338
2296,0,54
2297,0,1
2298,0,12
2299,0,890
2300,0,2
2310,0,1
2313,0,16
2315,0,1
2320,0,4
2322,0,6
2324,0,40
2329,0,2
2340,0,1
2348,0,2
2351,0,5
2354,0,3
2361,0,6
2367,0,96
2375,0,2
2376,0,3
2381,0,2
2388,0,58
2405,0,3
2408,0,1
2409,0,2
2416,0,4
2417,0,1
2429,0,3
2430,0,35
2433,0,1
2435,0,1
2437,0,1
2446,0,6
2449,0,129
2454,0,446
2463,0,1
2469,0,227
2471,0,6
2478,0,2
2483,0,1
2486,0,8
